artist,release,label,review
Gary Burton,Ring,ECM,"Mick Goodrick guitar, Pat Metheny guitars, Steve Swallow bass guitar, Bob Moses percussion, Eberhard Weber bass."
Gary Burton,A Genuine Tong Funeral,RCA,NA
Wilton 'Bogey' Gaynair,Africa Calling,Candid,"From 1960: Wilton ‘Bogey’ Gaynair (tenor sax), Ellsworth ‘Shake’ Keane (trumpet, flugelhorn), Terry Shannon (piano), Jeff Clyne (bass), Bill Eyden (drums)."
Wilton 'Bogey' Gaynair,Blue Bogey,Jasmine,"From 1959: Wilton ‘Bogey’ Gaynair (tenor sax), Kenny Napper (bass), Terry Shandon (piano), Bill Eyden (drums)."
Gene Shaw,Break Through,Dusty Groove,"The Mingus trumpeter’s debut as a leader, for Argo in 1962. Brilliant rocking hard bop, with plenty of heart; superb playing.
LP from Jazz Workshop."
Gene Shaw,"Break Through, Debut In Blues",Fresh Sound Records,NA
George Adams,Sound Suggestions,ECM,NA
George Duke,"I Love The Blues, She Heard My Cry",MPS,NA
George Duke,The Aura Will Prevail,MPS,NA
George Duke,Faces In Reflection,MPS,"Hard-core cosmic fusion from 1974. 
A trio with the brilliant drummer Ndugu Chancler and bassist John Heard (who’s also recorded with Joe Henderson, Bobby Hutcherson and Pharoah Sanders), dazzlingly careering through Latin, jazz, moody prog and Brazilian — including a scintillating Milton Nascimento excursion, the jittering funk of Psychosomatic Dung (twixt Zappa and Herbie), and an early revival of Capricorn, from Cannonball Adderley’s Soul Zodiac — with Duke’s new ARP 2600 synth in full effect. 
Utterly unmissable though for the mind-bending Fender Rhodes freak-out North Beach. Number one secret weapon of Derrick May (who knows how to get a party started). Ramped-up and dubbed-out to the max. Killer diller."
George Duke,Liberated Fantasies,MPS,NA
George Duke,The Inner Source,MPS,NA
George Duke,Feel,MPS,NA
George Wallington,Complete 1956-1957 Quintet Sessions,Fresh Sound Records,NA
George Wallington Quintet,Complete Live At The Cafe Bohemia,Phono,NA
Georges-Edouard Nouel,Chodo,Rebirth On Wax,"Sparkling, spiritual, funky jazz masterpiece by the man from Martinique (and Noel McGhie’s brilliant Space Spies LP, shot through with thrilling Caribbean and Latin flourishes — . The Fender Rhodes version of Meci Bon Die is a scorcher."
Stan Getz,With Guest Artist Laurindo Almeida,Doxy,NA
Stan Getz,Big Band Bossa Nova,Jazz Images,NA
"Gianluigi Trovesi, Gianni Coscia",La Misteriosa Musica Della Regina Loana,ECM,NA
Dizzy Gillespie,Portrait Of Jenny,Perception,NA
Dizzy Gillespie,Soul & Salvation,Tribute,NA
Dizzy Gillespie,The Real Thing,Perception,NA
Giovanni Guidi,Ida Lupino,ECM,NA
Giovanni Guidi Trio,This Is The Day,ECM,NA
Robert Glasper,Black Radio 2,Blue Note,"Vocals from Common, Brandy, Jill Scott, Dwele, Anthony Hamilton, Faith Evans, Norah Jones, Snoop Dogg, Lupe Fiasco, Emeli Sande, Lalah Hathaway, amongst others. Extras on the CD."
Robert Glasper,Covered,Blue Note,"Jazz piano trio versions of Bilal, Joni, Radiohead, John Legend and co."
Robert Glasper,Double Booked,Blue Note,The deft collision of jazz and hiphop-inflected funk promised by the Blue Note debut of a Maxwell and The Roots collaborator. Dilla meets Monk; De La Soul meets Ahmad Jamal. Contributions from Bilal and Mos Def.
Glauco Venier,Miniatures,ECM,NA
Globe Unity Orchestra,Globe Unity '67 & '70,Atavistic,"Two previously unreleased German radio broadcasts by Alexander v. Schlippenbach’s historic trans-European free jazz orchestra, featuring Gunter Hampel, Willem Breuker, Manfred Schoof, Peter Brötzmann, Albert Mangelsdorff, Peter Kowald, Jaki Liebezeit and full crew."
Babs Gonzales,Tales Of Manhattan,Jaro International,NA
Coleridge Goode,Bass Lines: A Life In Jazz,Northway,"Highly recommended memoirs of the longtime Ladbroke Grove resident — sixty years — and Harriott associate, revealing his huge contribution to the British jazz scene."
Dexter Gordon,Go,Blue Note,NA
Dexter Gordon,Our Man In Paris,Blue Note,NA
Dexter Gordon,One Flight Up,Blue Note,"Moody Paris jams from 1964 with Donald Byrd and Kenny Drew. Byrd’s sweetly soulful Tanya extends 18 minutes; Drew’s Coppin’ is minor-key, modal soul jazz; the ballad is full-force DG, big and hurting."
Dexter Gordon,Soy Califa: Live From Magleaas Hojskole 1967,Gearbox,"A performance for Danish TV, never released on vinyl until now, with Kenny Drew, Niels-Henning Ørsted Petersen and Albert Heath. The title track is storming Afro-Cuban jazz (from the unmissable Blue Note LP A Swingin’ Affair)."
Dexter Gordon,The Resurgence Of Dexter Gordon,Waxtime,NA
Dexter Gordon,Espace Cardin 1977,Elemental,‘What makes this concert so unique is that it is the only recording of Dexter with Al Haig. This is a major find’ (Michael Cuscuna).
Dexter Gordon,Tokyo 1975,Elemental,"‘Dexter’s playing was often pure genius regardless of the circumstances, but when he had that magic combination of players behind him, everything was possible. This Tokyo appearance is the last known recording of the Drew-Ørsted Pedersen-Heath rhythm section’ (Michael Cuscuna)."
Graham Collier,Down Another Road / Song For My Father / Mosaics,BGO,"Three albums — Down Another Road (1969), Song For My Father (1970) and Mosaics (1971) remastered onto two discs. Great line-ups, with the likes of Harry Beckett, Alan Skidmore, Geoff Castle, Chick Webb."
Graham Collier,Bread And Circuses,Jazz-Print,NA
Graham Collier,The Day Of The Dead,Disconforme,NA
Graham Collier,Winter Oranges,Jazz-Print,NA
Graham Collier,The Third Colour,Jazz-Print,NA
Graham Collier,Charles River Fragments,Jazz-Print,NA
Graham Collier,Workpoints,Cuneiform,NA
Grant Green,"Goin' West, Feelin' The Spirit",Masterjazz Records,NA
Grant Green,Alive!,Blue Note,NA
Grant Green,Street Of Dreams,Blue Note,"With Larry Young, Elvin Jones and Bobby Hutcherson."
Grant Green,Grant's First Stand,Blue Note,NA
Grant Green,The Latin Bit,Blue Note,"From 1963 — with Wendell Marshall (bass), Willie Bobo (drums), Johnny Acea (piano), Carlos ‘Patato’ Valdes (congas), Gavin Masseaux (chekere); and on the last two Ike Quebec and Sonny Clark."
Grant Green,Born To Be Blue,Jazz Wax,NA
Grant Green,Oleo,Waxtime,NA
Grant Green,Gooden's Corner,Waxtime,NA
Grant Green,I Want To Hold Your Hand,Blue Note,NA
Grant Green,Iron City!,Cobblestone,NA
Grant Green,Nigeria,Waxtime,"The version of It Ain’t Necessarily So on here is the shit. You can hear Blakey grunting and yowling with pleasure, and he’s quite right. Sonny Clark’s in there as well. Hotly forced on anyone coming within range, showing the slightest bit of interest.
CD from Essential Jazz Classics."
Griot Galaxy,Kins,Third Man,"‘Recorded in 1981, Kins is a masterstroke of creative Detroit jazz. The freeness of the playing is anchored by a serious propensity for rhythm. Griot Galaxy’s willingness to push boundaries was as affectionate as it was fearless. Kins is Detroit’s post-Coltrane, high-on-Sun-Ra bridge into the ‘80s. They certainly weren’t the first to experiment with polyrhythms, odd meters, and unusual tonalities, but it was in part the combination of Jaribu Shahid and Tani Tabbal’s previous experience with Sun Ra, as well as Tabbal’s experience with one-time Arkestra trumpeter Phil Cohran, that allowed the group to blossom…’"
Gruppo Afro Mediterraneo,1972 Blues Jazz Session,Black Sweat,NA
Gruppo Di Improvvisazione Nuova Consonanza,Gruppo Di Improvvisazione Nuova Consonanza,Superior Viaduct,NA
Gruppo Di Improvvisazione Nuova Consonanza,"Azioni, Reazioni 1967-1969",Die Schachtel,NA
Lars Gullin,Baritone Sax,Atlantic Japan,NA
Lars Gullin,Baritone Sax / Lars Gullin Swings,Phono,"‘The Complete Session’, adding alternates and a live recording.
Wonderful baritone-playing — nodding to Gerry Mulligan, but going its own way — over a range of settings, quartet to big-band, in an enjoyable mix of standards and three notable originals."
The Gurdjieff Folk Instruments Ensemble,Music of Georges I. Gurdjieff,ECM,"Dusting off Armenian, Greek, Arabic, Kurdish, Assyrian, Persian, Caucasian roots — and ‘a stillness that has not been darkened at all, and has the degree of density that leaves the Gurdjieffian silence immaculate.’"
Mats Gustafsson,Torturing The Saxophone,Corbett Vs Dempsey,"In the view of Robert Crumb (who did the lettering for the cover). Tenor, baritone, electronics, music box. Great repertoire — Ellington, Ayler, Lars Gullin’s fabulous Danny’s Dream — done charged, lyrical justice."
Tord Gustavsen,"Restored, Returned",ECM,"With bassist Mats Eilertsen and saxophonist Tore Brunborg — and introducing the seductive, bluesy voice of Kristin Asbjornsen on Tord’s settings of the poetry of W.H. Auden."
Tord Gustavsen,The Well,ECM,NA
Tord Gustavsen,What Was Said,ECM,NA
Tord Gustavsen,The Other Side,ECM,NA
Charlie Haden,Magico,ECM,With Jan Garbarek and Egberto Gismonti.
Charlie Haden,Liberation Music Orchestra,Impulse!,"A suite of revolutionary anarchist songs from the Spanish Civil War — featuring Don Cherry, Roswell Rudd, Gato Barbieri, Dewey Redman and guitarist Sam Brown — plus Ornette’s War Orphans, three works by Carla Bley (who arranges brilliantly), and two by the great bassist himself, in tributes to Che Guevara and protests against the Vietnam War, on his tumultuous, bracing, expansive first outing as leader, in 1970."
"Hamid Drake, Joe McPhee",Keep Going,Corbett Vs Dempsey,"‘The session somehow consolidated their shared energy in an unexpected way — the drummer’s incredible warmth and sense of buoyancy, the saxophonist and trumpeter’s preternatural musicality and quest for social justice. The recording started with McPhee reciting words by Harriett Tubman, resulting in the title track; Drake’s support was an achingly slow Max Roach-like beat. From this inspired, inspiring starting point, the twosome frolicked through a rich program, McPhee donning tenor and alto saxes, and pocket trumpet, Drake turning momentarily to the frame drum. Each musician contributes an introspective solo track. McPhee at one point plays trumpet into an open gong, which gives him otherworldly overtones, a sort of acoustic version of electric Miles…’"
Doug Hammond,Reflections In The Sea Of Nurnen,Tribe,NA
Herbie Hancock,Speak Like A Child,Blue Note,"After two years’ preoccupation with the Miles Davis Quartet, here is Herbie in 1968, getting ready for the seventies, the old bebop instincts melting into the balmy, open, innocent textures of fluegelhorn, bass trombone and alto flute, and his own lightly beautiful playing."
Herbie Hancock,Sextant,Columbia,NA
Herbie Hancock,Mr. Hands,Columbia,NA
Herbie Hancock,Secrets,Columbia,NA
Herbie Hancock,Crossings,Warners,"‘Herbie took the basic instrumental tracks of Quasar and Water Torture to Patrick
Gleeson’s Different Fur Studios, hoping to learn how to play the Moog synthesizer. Instead, Hancock let Gleeson contribute layers of sound to both pieces: on Quasar extending the horn playing of Bennie Maupin, Julian Priester and Eddie Henderson through electronic accents; on Water Torture providing a ghostly counter melody on the Mellotron (using samples from string instruments). These studio enhancements give Crossings an
otherworldly dimension, making the album feel bigger and more fantastical, yet the Sextet’s playing — recorded without much in way of edits or overdubs — keeps everything grounded. Indeed, Gleason’s additions are often so natural that it is hard to pick out what’s acoustic and what’s synthesized.’
The second LP by the sextet aka the Mwandishi Band, and Herbie’s last for Warner Brothers, clearing the way for the Headunters."
Herbie Hancock,Man-Child,Columbia,NA
Herbie Hancock,Thrust,Columbia,NA
Herbie Hancock,Mwandishi,Warners,"‘After releasing their Warner Bros. debut, the Herbie Hancock Sextet underwent a major transformation in the early ’70s. Over the course of a year, every member was replaced (except Herbie Hancock himself and bassist Buster Williams) and each adopted Swahili names. Hancock chose the moniker Mwandishi (‘composer’), and the Sextet became unofficially known as the Mwandishi Band.
‘The lineup’s first album reflects Hancock’s new aesthetic and spiritual directions. Stretching out from the r&b/jazz-fusion of Fat Albert Rotunda, the pianist would draw inspiration from his time with Miles Davis…
‘Dedicated to Angela Davis, Ostinato is an extended jam with stunning rhythmic complexity — enhanced by such studio effects as Echoplex delay. On You’ll Know When You Get There, Hancock’s tight arrangements are saturated in reverb, which gives an ever-shifting dimensionality. Side-long closer Wandering Spirit Song, written by trombonist Julian Priester, goes even further out: alternating between dynamic soloing and group improvisation, the Sextet fully manifests the radical potential of their collective identity/energy.
‘A bold and expansive statement, even after nearly fifty years.’"
Herbie Hancock,Head Hunters,Columbia,NA
Herbie Hancock,Fat Albert Rotunda,Warners,"‘A playful, joyous album in which Hancock clearly had a great time, this music was composed for the pilot of a children’s TV show, redirecting the post-bop of his five-year stint with Miles towards new r&b and funk styles. Flying high with three horn players — Joe Henderson, Garrett Brown and Johnny Coles — alongside Hancock’s soaring Fender Rhodes, the group could swing freely on a track like the rousing Fat Mama and emote precisely on the subtle Tell Me A Bedtime Story.’"
Herbie Hancock,Takin' Off,Blue Note,"1962 — with Freddie Hubbard (trumpet, fluegelhorn), Dexter Gordon (tenor sax), Butch Warren (bass), Billy Higgins (drums). Vinyl from DOL."
Herbie Hancock,Blow-Up,4 Men With Beards,NA
Herbie Hancock,Stars In Your Eyes,Columbia,"This is the sublime, eleven-minute killer, featuring vocalist Gavin Christopher. A big Theo Parrish record.
Backed with the promo-only disco mix of Saturday Night, lavished with percussion by Sheila E.
Murders."
Herbie Hancock,My Point Of View,Blue Note,"Amazing lineup — and a cool reworking of Watermelon Man. Anthony Williams, Chuck Israels, Grant Green, Grachan Moncur, Hank Mobley. 
Vinyl from DOL."
Herbie Hancock,The Prisoner,Blue Note,"Herbie Hancock (piano and electric piano), Joe Henderson (tenor sax, alto flute), Johnny Coles (flugelhorn), Buster Williams (bass), Albert ‘Tootie’ Heath (drums), Hubert Laws (flute), Romeo Penque (bass clarinet)."
Herbie Hancock,Empyrean Isles,Blue Note,NA
Herbie Hancock,Cantaloupe Island,Blue Note,A basic Blue Note compilation.
Herbie Hancock,Maiden Voyage,Blue Note,NA
Herbie Hancock,Inventions And Dimensions,Blue Note,"On the wing with Paul Chambers, and — Miles’ idea — two Latin percussionists, Willie Bobo on drums and timbales, and Osvaldo ‘Chihuahua’ Martinez, conga and bongo."
Hannibal Marvin Peterson & The Sunrise Orchestra,Children Of The Fire,Sunrise,NA
Hans Reichel,Bonobo,Corbett Vs Dempsey,"His second LP, originally released by FMP in 1976. ‘Microtonal string investigations still beguiling and fresh four decades later.’"
Hans Reichel,Wichlinghauser Blues,Corbett Vs Dempsey,"‘Originally released on FMP in 1973, the debut album by this legendary German guitar improviser and instrument inventor is a resonant and hilarious document of the nascent genius recording his peculiar and wondrous music alone in a studio. Acoustic and unfiltered electric guitars turned back into the supremely malleable instruments they were before they’d been firmly encoded as tools for rock or pop or jazz. Reichel uses a homemade 11-string guitar (with three pickups) for all the tunes except the first one. Reichel is like an improvising Harry Partch, investigating the genesis of lute music.’"
Harlem In Vogue,The Poetry And Jazz Of Langston Hughes,Fingertips,"The Harlem Renaissance giant, four ways. Leonard Feather’s sextet, Charles Mingus with Horace Parlan, Bob Dorough’s hip Jazz Canto, and poetry readings by LH himself (including I Have Known Rivers). Lovely stuff."
Rufus Harley,Re-Creation Of The Gods,Ankh,"Big-hearted, wonderful album from 1972, which combines funk with Aylerized gospel and free and soul jazz, without any of them losing out."
Rufus Harley,A Tribute To Courage,Atlantic,"Rufus Harley (bagpipes, soprano sax, tenor sax, flute), Oliver Collins (piano), James Glenn (bass), Billy Abner (drums)."
Rufus Harley,Bagpipe Blues,Atlantic,NA
Harold Mabern,I Want You Back,Prestige,"The superb bebop pianist versioning the Jackson 5 — from his Greasy Kid Stuff LP in 1970, with Idris Muhammad, Lee Morgan, Hubert Laws and Buster Williams.
Sister Janie by Funk Inc on the flip — with James Brown’s Sex Machine its point of departure."
Harold McKinney,Voices & Rhythms Of The Creative Profile,Tribe,NA
Toni Harper,With The Oscar Peterson Quartet,Fresh Sound Records,"Aged eighteen, her debut for Verve in 1956."
Toni Harper,"Lady Lonely, Night Mood",Fresh Sound Records,"The two albums with the Marty Paich orchestra including Pepper and Rosolino, from 1959 and 1960. She’s great on the ballads, super-cool, with fine phrasing and swing throughout… a touch of The Divine One."
Joe Harriott,"Movement, High Spirits",Vocalion,"Two contrasting, early-1960s Lansdowne LPs: Movement (with Shake Keane) includes three JH free-forms, a Michael Garrick, and the haunting Morning Blue; High Spirits re-presents the Broadway musical."
Joe Harriott,Abstract,Doxy,"‘Of jazz’s various components—constant time signatures, a steady 4/4 tempo, themes, chord sequences, and so on—we aim to retain at least one in each piece. But we may dispense with all the others…’ With Shake Keane, Pat Smythe, Coleridge Goode, Phil Seamen and Frank Holder, in 1961-2."
Joe Harriott,"Abstract, Southern Horizons, Free Form",Poll Winners,NA
Billy Hart,All Our Reasons,ECM,NA
Jon Hassell,Dream Theory In Malaya,tak:til,NA
Jon Hassell,Listening To Pictures (Pentimento Volume One),Ndeya,NA
Hampton Hawes,The Trio - The Complete Albums,Phono,NA
Coleman Hawkins,At Ease With Coleman Hawkins,Moodsville,NA
Tubby Hayes,The Complete Tempo Recordings 1955-1959,Acrobat,NA
Tubby Hayes,Mexican Green,Fontana,NA
Tubby Hayes,The Little Giant,Proper,NA
Tubby Hayes,The Jazz Couriers,Speciality,"In 1957 with Ronnie Scott, originally issued by Tempo. With a Hank Mobley (a big influence) and an Allan Ganley. One of three Hayes’ originals is dedicated to ‘lovely young actress’ Jackie Collins."
Tubby Hayes,Intensity,Tentoten,"Previously unreleased live recordings from Ronnie Scott’s in 1965 — with Terry Shannon, Jeff Clyne and Benny Goodman."
Tubby Hayes,Jazz Genius: The Flamingo Era,Fantastic Voyage,"Four original albums — The Jazz Couriers and In Concert (both with Ronnie Scott), the London Jazz Concert, and An Evening With Tony Kinsey — and various sides with the Tony Crombie group."
Tubby Hayes,Tippin',Gearbox,"The Jazz Couriers live in the Tivoli Restaurant in the seaside town of Morecambe, 1959. Tubbs is on fire, tearing in on a Horace Silver, out on a Stitt."
Tubby Hayes,"Tubby The Tenor, Tubby's Back In Town, Boston '64",Fresh Sound Records,NA
Tubby Hayes,Live At The Hopbine Volume 1,Gearbox,NA
Tubby Hayes,London Pride 1957-1960,Jasmine,NA
Tubby Hayes,The Eighth Wonder,Jasmine,NA
Tubby Hayes,Rumpus,Savage Solweig,NA
Tubby Hayes,The Swinging Giant Volume 2,Jasmine,NA
Tubby Hayes,Boppin' And Hoppin',Jasmine,NA
Tubby Hayes,Little Giant Steps,Proper,NA
Tubby Hayes,Tubby's New Groove,Candid,NA
Tubby Hayes,A Man In A Hurry,Mono Media,NA
Tubby Hayes,Moods And Blues,Gearbox,"Recorded live in February, 1964, two years into his quintet’s weekly residency at Ronnie Scott’s. Extending over both sides, Moods And Blues is infused with Coltrane, merging ‘a 16 bar modal platform a la Impressions with a battened-down bebop blues.’ Tubby is in full, proselytising flight; trumpeter Jimmy Deuchar, too, is brilliant."
Tubby Hayes,Introducing,Epic,180g.
Roy Haynes,Cracklin',New Jazz,"With Larry Ridley, Ronnie Mathews and the one and only Booker Ervin, in 1963; featuring the modal classic Dorian. Killer."
Roy Haynes,Hip Ensemble,Boplicity,NA
Roy Haynes,Cymbalism,Down At Dawn,"Highly entertaining, varied session for New Jazz in 1963  — the same year as Cracklin’ — with Frank Strozier (playing saxophone and flute), Larry Ridley and Ronnie Matthews. Tricky, careering opener Modette is terrific."
Roy Haynes,Senyah,Mainstream,NA
The Headhunters,Survival Of The Fittest,Arista,NA
The Headhunters,"Survival Of The Fittest, Straight From The Gate",R2,NA
Albert Heath,Kwanza (The First),Elemental,"Outstanding spiritual jazz from 1973, originally out on Xanadu. 
All three Heath brothers, Ted Dunbar, Kenny Barron and Curtis Fuller."
Hector Costita Sexteto,Impacto,Munster,"Moving to Brazil in the late 1950s, in no time this Argentinian saxophonist and flautist was playing alongside such giants as João Donato, Manfredo Fest and Sérgio Mendes. A sextet recording made in São Paulo in 1964, and originally released by Fermata, this is a tasty, expert mixture of samba and hard bop. Don’t miss the version of Tokyo Blues."
Helen Merrill,Dream Of You,Fresh Sound Records,NA
Helen Merrill,Helen Merrill / Dream Of You,Rev-Ola,"Her eponymous album debut — with Clifford Brown — is a jazz classic, just wonderful. 
From 1956, two years later, Dream Of You was produced and arranged by Gil Evans."
Helen Merrill,Parole E Musica,Dol,"Recorded in Italy in 1960, with arrangements by Piero Umiliani (who plays a mean celeste), this is a desert-island-disc of jazz singing. Longing, frustration and loneliness, saturated with sadness, ravishingly conveyed. You can feel her breath on your face.
‘Miles used to love my sound and always came to hear me sing… he loved my whisper sounds. That’s a technique I used by getting up real close to the microphone… a very intimate sound.’
Hotly recommended."
Helen Merrill,With Clifford Brown,Waxtime,NA
Joe Henderson,The Elements,Milestone,"Water in particular is stunning, with JH chasing the devil across the Sahara like an elemental fury, flashing dubwise effects; alongside the magnificent, dread droning and piping of Alice Coltrane , r-r-r-rough Charlie Haden, and Michael White on tablas and percussion. 
It’s totally killer, no-holds-barred World Music… A must. 
First class vinyl production, too, with old-school tip-on sleeves."
Joe Henderson,Page One,Blue Note,"From 1963, his brilliant hard bop quintet — Kenny Dorham, Butch Warren, Pete LaRoca, McCoy Tyner — as completely entrancing on dance classics like Blue Bossa as on the more reflective tunes. Warmly recommended."
Joe Henderson,Mode For Joe,Blue Note,NA
Joe Henderson,Our Thing,Blue Note,"Kenny Dorham, Andrew Hill, Eddie Khan, Pete La Roca."
Joe Henderson,The State Of The Tenor: Live At The Village Vanguard Vol 1,Blue Note,NA
Joe Henderson,Mirror Mirror,MPS,"Cracking 1980 session with Chick Corea, Ron Carter and Billy Higgins. Henderson’s characteristic conversational brilliance digs something different out of the lovely standard What’s New? — more reserved and less tender than usual (Dexter, say), including pulsating interplay with Carter — but Joe’s Bolero is the standout. As always you wish Corea would rein it in."
Jon Hendricks,Fast Livin' Blues,Columbia,NA
Andrew Hill,Grass Roots,Blue Note,Booker Ervin! Mira!
Andrew Hill,Point Of Departure,Blue Note,"A cor-blimey line-up, and a masterpiece, recorded on the first day of spring in 1964. Dorham, Dolphy, Joe Henderson, Richard Davis, Tony Williams."
Billie Holiday,The Complete Commodore Recordings,Essential Jazz Classics,NA
Billie Holiday,Lady In Satin (Jazz Images),Jazz Images,NA
Billie Holiday,Lady In Satin,Columbia,NA
Billie Holiday,Songs For Distingue Lovers,Verve,"With Harry Edison, Ben Webster, Jimmie Rowles, Barney Kessel, Red Mitchell, and Alvin Stoller."
Billie Holiday,Lady Sings The Blues,Jazz Images,NA
Billie Holiday,The Complete 1952-1957 Small Group Studio Takes,Masterworks,NA
Billie Holiday,The Commodore Days,Doxy,NA
Billie Holiday,Sings,Pan Am,NA
Billie Holiday,Songs For Distingue Lovers (Jazz Images),Jazz Images,NA
Billie Holiday,The Complete Decca Recordings,Essential Jazz Classics,NA
Dave Holland,Seeds Of Time,ECM,"With Steve Coleman, Julian Priester, Marvin Smitty Smith and Kenny Wheeler."
Dave Holland,Uncharted Territories,Dare2,NA
Richard Groove Holmes,Soul Message,Prestige,"RH came through with Les McCann and Gerald Wilson. Prestige tried him out with Gene Ammons and Joe Pass, before this trio debut as leader, in 1965. 
Top-notch, archetypal soul jazz — the opener states the case, the closer sums up — hard-swinging, blues-saturated, lots of chords, propulsive bass, open and gritty. 
Nicely Latinized version of Song For My Father."
Homage A Eberhard Weber,,ECM,NA
Horace Tapscott With The Pan-Afrikan People's Arkestra,Live At IUCC,Outernational Sounds,"Horace Tapscott is one of the unsung giants of jazz music. A gifted composer and arranger, a boldly original pianist, and above all a visionary bandleader, Tapscott’s recorded footprint is small, but his legacy continues to vibrate through the Los Angeles music underground. From Freestyle Fellowship to Build An Ark, Kamasi Washington and Dwight Trible, it all runs back to Tapscott. The pianist was an organiser, and instead of chasing a successful recording career, he wanted to build a community band that would act as “a cultural safe house for the music.” “I wanted to say, This is your music. This is black music, and I want to present a panorama of the whole thing right here.” “We would preserve the music on our ark, the mothership…”, aka the Pan Afrikan Peoples Arkestra.
Tapscott had founded the group in 1961 as the Underground Musicians Association (UGMA). It changed its name to the Pan African Peoples Arkestra in 1971, and through the seventies the players lived, played and worked together. Community work and political consciousness were at the heart of the project, and for two decades they played in street, park and coffee house. With Tapscott as their guide and mentor, the Arkestra worked with theatre groups, poets and revolutionaries, ran music workshops and teaching sessions for children and adults, and played fundraisers, benefits and rallies for political and social causes both global and local. 
From 1973 to 1981 their main rehearsal and concert space was the Immanuel United Church of Christ (I.U.C.C.) on 85th St and Holmes Ave. The Arkestra played there every second Sunday, developing their sound and hipping new audiences to their vision. Live At IUCC, recorded in early 1979, was the only live recording the band released. In full flow, and at the height of their powers, the group recorded here features original 1961 UGMA members Linda Hill, David Bryant and Alan Hines, alongside the powerful voices of a new generation including Jesse Sharps, Sabir Mateen, and Adele Sebastian. 
Showcasing spiritualised classics from the Arkestra’s songbook, including heavy modal groovers Desert Fairy Princess and Macrame, Live At IUCC is a rare chance to hear one of the most important, foundational bands in all of jazz, stretching out in their own thing. With the great Horace Tapscott at the piano, this is the rarely captured sound of the mothership in full flight! 
Beautifully presented,180g audiophile vinyl.
Licensed from Tom Albach, who started Nimbus Records specifically in order to document Tapscott and his circle."
Horace Tapscott With The Pan-Afrikan People's Arkestra,The Call,Outernational Sounds,"Available on vinyl for the first time in forty years, Horace Tapscott’s burning, spiritualised 1978 set is a masterpiece of the Los Angeles jazz underground.
It’s drawn from two studio sessions in April 1978, one at Hollywood Sage and Sound, one at United Western. The latter session added a string section, which can be heard on the moody Cal Massey composition Nakatini Suite and Jesse Sharps’ swinging modal trip Peyote Song No. III, with its swirling soprano solo. In keeping with the communal nature of the Arkestra, the other two compositions, The Call and Quagmire Manor at Five A.M. are also by Arkestra members. But at the centre of the music is the builder of the Ark, the visionary whose original call to action started a movement whose legacy continues to this day — Horace Tapscott.
180g audiophile vinyl in a painstakingly reproduced sleeve.
Heed The Call!"
Horace Tapscott With The Pan-Afrikan People's Arkestra,Flight 17,Outernational Sounds,"First formed as the Underground Musicians Association in the early 1960s, Tapscott always wanted his group to be a community project. From its base in Watts, UGMA got down at the grassroots. They played for the people, organising fundraisers in parks and coffee houses, hosting teach-ins and workshops for young and old, and mixing it with radical theatre groups, firebrand poets, political radicals, Black separatists, community groups and churches. They lived communally, supporting each other and their people, and built an ark for the Black arts in the heart of the city. The group was renamed the Pan-Afrikan Peoples Arkestra in 1971, and soon after they established a monthly residency at the Immanuel United Church of Christ which ran for over a decade, while still playing all over Los Angeles and beyond. But through all this, they never released a note of music.
It was the intervention of Tom Albach, a fan of Tapscott and the group, that finally got them on wax. Determined that their work should be documented, Albach founded Nimbus Records specifically to release the music of Tapscott, the Arkestra, and the individuals that comprised it. The first recording sessions in early 1978 yielded enough material for two albums, and the first release was Flight 17. From the surging avant-gardism of Herbie Baker’s opener to the laid-back summertime groove of Kamonta Lawrence Polk’s Maui, or Roberto Miranda’s uptempo Latin jam Horacio, Flight 17 showcased the radical voices of the Arkestra’s members. 
Available on LP for the first time in forty years, in a lovingly re-created gatefold sleeve, adding two tracks never before on vinyl, this is the first flight on wax of the West Coast’s foundational community big band — energised, hip and together. 
Open up the gates and prepare for departure!"
Shirley Horn,"At The Gaslight Square, Loads Of Love",Solar,NA
How Low Can You Go?,"Anthology Of The String Bass, 1925-1941",Dust To Digital,"A gem of a box to the acclaimed standards of this Atlanta label: a lovely book with essays, historical articles and full track notes by the great US discographer Dick Spottswood, and hours of romping stomping jazz."
Freddie Hubbard,Hub-Tones,Blue Note,With Herbie Hancock.
Freddie Hubbard,Open Sesame,Blue Note,DOL vinyl.
Freddie Hubbard,Blue Spirits,Blue Note,NA
Freddie Hubbard,Breaking Point,Blue Note,NA
Freddie Hubbard,Hub Cap,Blue Note,NA
Freddie Hubbard,Ready For Freddie,Blue Note,NA
Freddie Hubbard,Red Clay,CTI,NA
Freddie Hubbard,Sky Dive,CTI,"From 1972, featuring Povo. Roomy and grooving, with a legs eleven of brass and woodwinds brilliantly arranged by Don Sebesky — and George Benson, Keith Jarrett, Ron Carter, Billy Cobham, Airto and Ray Barretto."
Freddie Hubbard,The Artistry Of Freddie Hubbard,Doxy,NA
Freddie Hubbard,First Light,CTI,NA
Freddie Hubbard,Straight Life,CTI,NA
Julia Hulsmann,Imprint,ECM,"Strongly melodic, gently contemplative piano trio jazz, with Marc Muellbauer, from the recent Moritz Von Oswald Trio."
Julia Hulsmann,The End Of A Summer,ECM,NA
Julia Hulsmann,In Full View,ECM,NA
