artist,release,label,cat_no,review,release_id
Black Rain & Shapednoise,Apophis,Cosmo Rhythmatic,002,"Breathtaking trip into noisier, cutting edge Techno/Electronic fields",73763
Mace,Non Succede Niente,Eclipse Music,010,Dense Ambient/IDM EP,73113
Tetsumasa,Asa,Saidan,001,Excellent cinematic Ambient / Noise / Techno ventures,76255
Shapednoise,Deafening Chaos Serenity,Type,134,"Stunningly powerful, cutting edge Noise / Ambient earthquakes",77183
Tarquin Manek,Tarquin Magnet,Blackest Ever Black,047,Beautiful Industrial leaning Ambient/Drone/Indietronica album (comes w/ download code),05648
F Ingers,Awkwardly Blissing Out,Blackest Ever Black,065,Vintage Electronics blended w/ UK New Wave heritage (w/ download code),12955
Jabu,Sleep Heavy,Blackest Ever Black,LP 016,An Outsider-Pop adventure embedded in superb Electronic Ambient soundscapes,12956
Pali Meursault,Stridulations,Discrepant,056,"Purist, ’clicks & cuts’ reminiscent Designer Electronics",19674
Fatima Al Qadiri,Asiatisch,Hyperdub,HDB LP 024,"Outstanding, multi-faceted, Classical & Outernational musics leaning Electronica album",12537
Atlas,Solitude EP,Keysound,062,Killer Electronic / leftfield UKG hybrid EP,69480
Blackdown,Those Moments,Keysound,072,Classy cinematic ‘weightless’ Grime / Ambient album,25092
Kassel Jaeger,Le Lisse Et Le Strie,Latency,017,Sub heavy cutting edge Designer Ambient Electronics,32191
Oneohtrix Point Never,Returnal,Mego,Editions 104 X,Electronic avant pop w/ exciting Fennesz rework,61476
Fenn O’Berg,Live In Japan Part Two,Mego,Editions 110.2,"The Mego super group (Fenesz, Pita & Jim O’Pourke) plays out live in Japan",34743
Fennesz,Bécs,Mego,Editions 165,’A singular work by a singular artist’ - comes in Tina Frank designed gatefold sleeve,70665
Sendai,Ground And Figure,Mego,Editions 232,A Peter Van Hoesen & Yves De Mey joint: developed Techno/IDM hybrid album (comes w/ download code),20232
BJNilsen,Massif Trophies,Mego,Editions 233,Masterful processed & arranged field recordings (w/ downlaod code),29743
Unica Zürn,Sensudestricto,Touch,113,David Knight & Stephen Thrower prod. far-out Industrial / Noise / Drone excursion,81174
Arovane & Porya Hatami,C.H.R.O.N.O.S.,Karl,067,"Widely reverberating, IDM & Drone tinged pure Ambient sound scapes",40351
...,No Title,Sähkö,30,"Sparse, focused, noisy & ghost choruses centered pure Electronics",12388
Not Glass,Forma,Ecstatic,042,Not Waving and Jay Glass Dubs prod. cinematic Ambient / Drone / IDM excursion,12257
Lapti,V Tiraj,Gost Zvuk,004,Beautiful raw atmospheric beats,74204
Pariah,Here From Where We Are,Houndstooth,096,"Dense, beautifully harmonic, 1970 vintage Electronics tinged, pure Ambient bliss",19005
Bana Haffer,Matiere,Make Noise,009,"Stunning, pure, side long Electronic sound scapes explorer",21552
M.E.S.H.,Piteous Gate,PAN,66,Classic IDM Electronica,73682
Pan American,"For Waiting, For Chasing",Kranky,152,"Masterful, epic, eternal excursions into Electronic/‘Post-Rock’ territorry",39818
Steve Hauschildt,Where All Is Fled,Kranky,198,"Drifting, vintage ’Kosmische Musik’ reverberating Electronica",43161
Tim Hecker,Konoyo,Kranky,219,Outstanding & forward-looking designer Electronics,18711
Dead Fader,Glass Underground,Robot Elefant,021,"Classy, narrative Electronic album (comes w/ download)",74514
Paul Jebanasam,Continuum,Subtext,016,"Intense, outstanding, noisy Electronic album",75038
ASC,The Farthest Reaches EP,Auxiliary,014,"Epic, pulsatic, extended, perfectly crafted Ambient Techno EP",40062
Stefan Jaworzyn,Drained Of Connotation,Blackest Ever Black,027,"Purist, Noise related Electronics",05774
Secret Boyfriend,Memory Care Unit,Blackest Ever Black,045,Chilled Dark Wave leaning Ambient Electronica & sparse Indie Pop/Rock,75223
Naaahhh,Themes,Blackest Ever Black,054,"Quiet, pure, tripping Ambient Electronica album (w/ download code)",77487
Dalhous,Will To Be Well,Blackest Ever Black,LP 007,Chilled Downtempo/Ambient/IDM album; comes w/ download,01587
Af Ursin,Aura Legato,Blackest Ever Black,LP 012,"Reissue of, outstanding Belgian 2005 Ambient album w/ echoes of Outernational & Drone musics",76339
Raime,Tooth,Blackest Ever Black,LP 014,"Excellent, sparse, contemplative album bridging UK Bass, Indie-Rock & Industrial (w/ download code)",70424
Burial,Subtemple,Hyperdub,HDB 108,The man’s ‘latest efforts’,31160
Proc Fiskal,Insula,Hyperdub,HDB LP 040,Covering IDM & Grime affine leftfield Electronica terrirory,20277
Yearning Kru,Copper Vale,Planet Mu,371 / Knives,Subtle IDM-Ambient album,32394
Akira Rabelais,Eisoptrophobia,Boomkat Editions,017,"Wonderful, cinematic Piano derived Ambient sound scapes",15641
Jesse Osborne-Lanthier & Grischa Lichtenberger,Conversations Sur Lettres Mortes,Cosmo Rhythmatic,004,"Introverted, stripped-down, experimental Electronic antirhythmics b/w fabulously curated designer remix treatments",76536
Die Angel,Entropien I,Cosmo Rhythmatic,006,Ilpo Väisänen & Dirk Dresselhaus prod. sound excursions to the final frontier,25710
Rabit,Les Fleurs Du Mal,Halcyon Veil,016,Collection of IDM & Ambient Electronica & sound collages á la Musique Concrète,24058
Cecilia,Adoration,Halcyon Veil,018,"Sound collages in Ambient referring to classic IDM, weightless Grime & radio plays",23802
Dual Action,Babe Beer Bar Car,Hospital Productions,496,"Compilation of ‘distorted Ambient, mutant House, Jungle, Grime and Footwork variants’",21295
d’Eon,Foxconn: Trios,Knives,LP 003,"Explorative, stuttering & bursting rhythmic abstractions",33352
Kailin,Fracture,Mistry,LP 001,"Puristic, sparse Electronics & Ambient in ‘weightless’ Grime mode",38512
Helm,Olympic Mess,PAN,63,"’a record born of destructive practice, competing desires, and troubled optimism’ (comes w/ download)",73404
Pan Daijing,Lack,PAN,79,"Intense, noise-core-ish to cinematic modern Classical Electronics",28762
Amnesia Scanner,Another Life,PAN,96,Intense EDM Electronia as seen through a noise bent avant-garde sound designer lens,19041
Objekt,Cocoon Crush,PAN,97,"Outstandingly dynamic, dense, beautiful Designer Electronics",17706
Native Instrument,Camo,Shelter Press,073,Blending field recordings & Musique Concrète adventures,24126
CV & JAB,Zin Taylor's Thoughts Of A Dot As It Travels A Surface,Shelter Press,092,"Cinematic, gorgeous Neo Classical / Electronic hybrid Ambient album",21383
Daphne Oram,Oramics,Young Americans,001,Valuable compilation of pioneering electronic music from the BBC archives,61354
Red Stars Over Tokyo,Infinity From The Mouth Of Night,Hot Hair,33120117,"Droning, craftily executed, puristic Electronic live jams",28742
Hannu Karjalainen,A Handful Of Dust Is A Desert,Karaoke Kalk,101,"Cinematic, modern Classical echoing pure Ambient & Lounge Electronica",28741
Drøne,Reversing Into The Future,Pomperipossa,LP 002,"Excellent, Mark Van Hoen & Mike Harding prod., side-long experimental Drone creations",75936
Anne Guthrie,Brass Orchids,Students Of Decay,119,"Puristic, explorative, beautiful Drone / Ambient sound scapes",21090
UnicaZürn,Transpandorem,Touch,Tone 057,"Side-long, ‘ceaselessly evolving musical compositions’ - Recommended!",40820
John Cravache,Cites Nomades,Versatile,100,Radio play alike mixture of poetry & cinematic music excursions,52349
Bill Converse,The Shape of Things To Come,Dark Entries,158,"Current, ‘The Hague’ style mixture of Acid Techno & Electro w/ strong 1980s New Wave ties",20366
Guy Reibel,Douze Inventions En Six Modes De Jeu,Karl,028,’a music that combines the density and purity of electronic music with an unbelievable sound sensuousness’ (comes w/ download code),74575
"BJ Nilsen, Stillupsteypa & Anla Courtis",Golden Circle Afternoon,Mego,Editions 192,"Classy, side-long Ambient excursions & sound collages",71799
Cut Hands,Festival Of The Dead,Blackest Ever Black,LP 010,Puristic African drumming & UK Industrial rooted rhythm textures,01586
These Hidden Hands,Sz31x71,Hidden Hundred,006,"Breathtaking, advanced & dramatic Roly Porter remix",76256
Fis,From Patterns to Details,Subtext,018,Dense & intense late 1990s IDM reminiscent Electronica,76761
Toxe,Blinks,PAN,88,Intensely melodic IDM & UK rave emulations reminiscent Electronica  (download card included),18962
Orcas,Orcas,Morr Music,111,"Widely reverberating, Indie-Tronica tinged Ambient Electronica",33666
ISAN,Beautronics Plus,Morr Music,122,"Beautiful, chilled, slightly Instrumental Synth-Pop tinged Electronica / Ambient",33667
Orcas,Yearling,Morr Music,128,"Minimalist, harmonic Ambient excursions & spaced out shoe-gazer Indie-Pop hybrid album",33668
Benoît Pioulard,Noyaux,Morr Music,141,"Warm, beautifully, ghostly choruses saturated, pure Ambient bliss",33671
Jonny Nash,Make A Wilderness,Music From Memory,037,"Sparse, contemplative, pure Ambient bliss",22713
System,Plus,Morr Music,163,"Perfect, warm, harmonic Ambient album w/ Nils Frahm appearance",00694
Cristian Vogel,The Assistenz,Shitkatapult,160,"Ace, Noise appreciating Ambient Dub Designer-Electronica w/ echoes of UK Bass & Grime",57436
Si Begg,Blueprints,Shitkatapult,164,"UK Techno innovator from ’No Future’ hey-days strikes w/ stunning, idiosyncratic explorer mode Electronics (w/ download card)",78172
Sollmann & Gürtler,Gegen die Zeit,Sky Walking,003,John Gürtler & Phillip Sollmann prod. explorer-mode Electronics in quest for the perfect Drone,78792
Neel & Filippo Scorcucchi,Present LF58: Late Night Innominate Vol. 2,Auxiliary,LNI 002,Pure Ambient / Drone bliss,29362
Eva-Maria Houben,Erwartung 1 und 2,Second Editions,006,"Radically reduced, contemplative Modern Classical sound scapes for piano & organ",32591
Chra,On A Fateful Morning,Mego,Editions 244,"‘By subtly intertwining musical and non musical sounds Chra is weaving an intensely atmospheric, poetic tableau of emptied spaces’ (w/ download card)",27833
Lee Gamble,Mnestic Pressure,Hyperdub,HDB LP 037,Collection of Drum & Bass derived IDM and CAD-Avant-Ambient pieces (w/ download code),12976
Column One,Entropium,Karl,020,Zeitkratzer ensemble plays compositions by the Berlin based Electroacoustic/Industrial collective,73907
Talibam! + Yasunao Tone + Sam Kulik,Double Automatism,Karl,022,’teaming up for a confrontational sonic attack’,73921
Lustmord,The Word As Power,Blackest Ever Black,LP 004,"Sub heavy, crafty Electronic Drones colored w/ Eastern chants in killer gatefold sleeve",68800
Fatima Al Qadiri,Brute,Hyperdub,HDB LP 031,Killer Consciousness-Ambient - outstanding Electronic music album - Highly Recommended! (comes w/ download code),32791
Gaussian Curve,The Distance,Music From Memory,018,Early 1980s New Age indebted subtle Lounge / Ambient Electronica,26897
Lo Kindre,Chlorophytum,12th Isle,007,"Tripped out Ambient Electronica w/ minimalist, Lounge affine donwtempo grooves",12816
Oren Ambarchi & Robin Fox,Connected,Kranky,169,Delicate & beautifully concentrated Drone works,59523
Ken Camden,Dream Memory,Kranky,194,"Pure, beautiful vintage New Age & Kosmische Musik indebted Electronica / Ambient",22349
Anjou,Epithymia,Kranky,207,"Mark Nelson & Robert Donne produced flawless, pure Ambient / Drone drifters",39039
Christina Vantzou,No. 4,Kranky,215,Fantastic excursion into cinematic Modern Classical / Electronic Ambient sound sculptures & Drones,20186
Matthew Bourne / Franck Vigroux,Radioland,Leaf,102,Kraftwerk’s classic album stunningly reinterpreted (gatefold sleeve w/ CD  thrown in),76572
Jega,1995,Skam,LP 032,"Great, mid 1990s IDM-defining, Electro leaning leftfield Techno / Electronica album",68541
Asuna & Jan Jelinek,Signals Bulletin,Faitiche,018,Stunning blend of ‘perfect’ Drones & swirling synthesizer textures in explorer mode (w/ download card),35580
Gramm,Personal Rock,Faitiche,Back 09,Valuable reissue of Jan Jelinek prod. click’s’cuts-era Ambient / minimal ‘House’ gem (w/ download card),35499
Bartosz Kruczynski & Poly Chain,Pulses,Into The Light,Intl 002,"Wonderful, harmonic, subtly New Age indebted Electrronica bliss",40337
Shackleton,Deliverance Series No. 3,Woe To The Septic Heart,DS 3,"New, unique, modern, adventurous club music related killer EP",01013
Dasha Rush,Sleepstep,Raster-Noton,158,"Superb, chilled Electronic/Ambient Electronic album",73235
B12,An Eternal Flame,Firescope,003,"Classy, 1990s Ambient rooted, original, chilled Electronica EP",77474
B12,Mindbender,Firescope,004,Classy half-tempo Ambient Techno / Ambient EP (two final mint copies in generic sleev - no picture sleeve),39935
Departement D’Education Psychique,Musique Improvisée,Acido,021,"Pure, side long Outer-Space-Electronica (partitions for pre-listening purpose only)",01221
Oake,Auferstehung,Downwards,DN 064,"Dark, Ambient-ish1980s leftfield Electronic Pop & Industrial rooted album",72264
Hans Castrup,Heterogeneous Cell Information,Karl,063,‘a dystopian soundtrack that melts dark ambience with electro-acoustic means’,13155
Grischa Lichtenberger,Treibgut,Raster-Noton,112,Noisy Glitch/Clicks‘n’Cuts Electronic EP,23343
Gomila Park,Ununoctium,Raster-Noton,118,"1980s Noise / Industrial / Wave rooted, heavy Electronics",21163
Senking,Dazed,Raster-Noton,142,"Chilled & sub heavy, Dubstep related Electronic excursions",17528
Ekoplekz,Rock La Bibliotek,WNCL,021,Great late 1970s punk & history of library music aware & appreciating Electronica EP,50811
Shackleton with Anika,Behind The Glass,Woe To The Septic Heart,LP 02,"‘Unapologetically ambitious, complex, staggeringly powerful music, simultaneously haunting and moving’",10771
Benoît Pioulard,Sonnet,Kranky,193,"Stunning, intense, harmonic Drones & pure Ambient exploring album",35983
Senking,Tweak,Raster-Noton,131,"Chilled & sub heavy, Dubstep related Electronic excursions",35218
Vera Dvale & Psykovarius,Udu,Sex Tags,Amfibia 022,Early 1980s New Age reminiscent Ambient album,28974
Aponogeton,A Place Of Solace,Stroom,LP 024,"Stunningly imaginative cinematic, ‘perfect’ Drone affine Electronic music album",40407
Phill Niblock,Niblock For Celli / Celli Plays Niblock,Superior Viaduct,157,In search for the perfect drone - Modern Classical R&D exploring dynamics in micro-tonality,18374
Ancestral Voices,Navagraha,Horo,Ex 024,Blinding Ambient set ‘in quest for the perfect Drone’,12225
Karl Fousek,In The Forest,Second Editions,005,"Highly focused, ultra minimalist, cinematic sound scapes",32588
Busen,Busen,General Elektro,GE BU 4,Pflumm & Mitterer delivering minimalist ’designer loops’ in superior design (w/ insert),73462
Ghostigital & Finnbogi Pétursson,Sirkus Requiem,Laton,058,Sidelong crafty Noise/Drone pieces (CD version thrown in),74187
Piper Spray,Drugstore Phones,Gost Zvuk,006,"Superb, imaginative, warm Ambient / House jewels - album comes in gatefold cover",77242
Westend,WE 1,General Elektro,WE 1,"Original EMD vibes w/ minimalist, sub heavy Electronic Music designer loops",01290
Actress,Rainy Dub,Honest Jon’s,HJP 061,Two outstanding ambient Techno scapes,64634
Shackleton & Vengeance Tenfold,Sferic Ghost Transmits,Honest Jon’s,HJP 084,Full spectrum Outerspace transmissions from planet Shackleton in Skull Disco encoding,77403
Vladislav Delay Quartet,Vladislav Delay Quartet,Honest Jon’s,HJRLP 056,"Intense sessions on the edge of avant-jazz & noisy drone electronics w/ Derek Shirley, Lucio Capece, Mika Vainio & Vladislav Delay",63360
Cosmin TRG,Hope This Finds You Well,Fizic,LP 000,Purist & minimalist Ambient Droine sound scapes,13076
Lee Gamble,In A Paraventral Scale EP,Hyperdub,HDB 119,Pure Ambient bliss & dynamic Designer Electronics,13321
Bolder,Hostile Environment,Mego,Editions 185,"Dark, sub heavy, droning, down/half-tempo Ambient/Electronica excursions",70499
Braun (And The Mob),As The Veneer Of Dumbness Starts To Fade,Nonplace,016,"Cartoon soundtrack alike electronica w/ elements of jazz, funk...",30222
Toy Bizarre,kdi dctb 180,Substantia Innominata,022,"Fine, rich textured, puristic Electronic album",75721
Young Male,How To Disappear In America,White Material,009,"Atmospheric, dusky, 70's/80's synthesizer works indebted imaginary movie score",77119
Grace,Untitled,Avian,024,Industrial leaning Noise excursions b/w distorted Techno stepper,75492
Anthony Pateras,Errors Of The Human Body OST,Mego,Editions 140 V,"Recommended score for a feature Max Planck Institute for Molecular Cell Biology and Genetics, Dresden, Germany - TIP!",42269
Hastings Of Malawi,Visceral Underskinnings,Sub Rosa,449,‘an epic sound poem - a 40 minute film without light that reflects on the human condition’,19991
Moljebka Pvlse,In Love And Death. You Are Alone,Substantia Innominata,021,Beautiful deep blue extended Ambient / Drone albun,75720
Keith Fullerton Whitman,070325,Amethyst Sunset,005,"2011 album, extended, noisy ’synth concert’ recordings",66206
Shampoo Boy,Licht,Blackest Ever Black,016,"Guitar, bass and electronics trio w/ Christian Schachinger, Christina Nemec & Peter Rehberg",68496
Ashtray Navigations,"To Make A Fool Ask, And You Are The First",Blackest Ever Black,056,"Psyched out, ’Kosmische Musik’ leaning, droning Indie-Rock Ambient scapes (w/ download code)",77271
Sugai Ken,Tele-n-tech-da,Discrepant,055,"Sparse, crisp Avant-Electronics echoing Musique Concrète & classic radio play",19673
Various Artists,Drone-Mind / Mind-Drone Vol. 2,Drone Mind,002,"Contemplative, blissful, extended Drone studies compilation from 2012",75804
Various Artists,Drone-Mind / Mind-Drone Vol. 3,Drone Mind,003,"Dynamic, cinematic Ambient / melancholy, extended Drone works compilation from 2014",75805
Robert Hampson,Signaux,Mego,Editions 148.1,"Fantastic, extended Electronic Drone excursions",66905
Robert Hampson,Suspended Cadences,Mego,Editions 148.2,"Fantastic, extended Electronic Drone excursions",66906
Dead Fader,Jenny 153,Parachute,019,Noisy edged Avant-IDM Electronica at its very best (w/ download code),24647
Some Truths,"Some Friends I Lost To Bedlam, Others I Abandoned There",Mordant Music,068,Minimalist vintage Electronic Music inspired excursions,70598
William Selman,Musica Enterrada,Mysteries Of The Deep,LP 002,"Superb, refreshing pure Ambient / Electronic explorer",21258
Lair,Lair EP,Eotrax,002,Modern Classical affine ambient-ish choruses & pulsating Techno aimed version by Rrose - Highly Recommended!,36480
Various Artists,Drone-Mind / Mind-Drone Vol. 4,Drone Mind,004,"Dense, contemplative & dynamic, extended Ambient / Drone studies compilation from 2015",75806
Christian Fennesz & Jim O’Rourke,It's Hard for Me to Say I'm Sorry,Mego,Editions 221,"Touching, beautiful, side-long Drone / Ambient works - download code included",76027
Anger Management Inc. / Sleeparchive,Split,Sonmoi,006,"Puristic, experimental, New Wave & Vainio oriented electronics",77383
Brume,Two Characters,Substantia Innominata,019,"Side long, brilliant Drone pressure",20018
Mark McGuire,Get Lost,Mego,Editions 123 V,"1970s Krautrock rooted, solo guitar centered electronic instrumental tunes w/ pop appeal",26559
Illusion Of Safety,Sweet Dreams,Substantia Innominata,017,"Enchanting, side long Ambient scapes",20016
ASC,Trans-Neptunian Objects 2,Auxiliary,CD 012,"Stunningly beautiful, ultra deep, pure & cinematic Ambient bliss",13716
Black Merlin,Void EP,Berceuse Heroique,055,"New Wave & New Age indebted, subtly Techno pulses incorporating Electronics",13351
Nicolas Wiese,Unrelated,Karl,057,"Far out mixture of puristic Noise Electronics, Drone, Goth Ambient & in between",29783
Yko,Taō Remixes,Akō,02,"Impressive, dense, epic, masterful Electronic excursions (original CD album ‘Taō’ thrown in as well)",73795
Synthek,The Hidden Dimension,Auxiliary,020,Ultra deep Ambient Techno bliss w/ stepping rhythm pulses,19980
High Plains,Cinderland,Kranky,206,Scott Morgan & Mark Bridges prod. cinematic Modern Classical / Ambient album,38513
Advanced,24,Substantia Innominata,015,"Superb, extended field recordings & Ambient / Drone treatments",20014
Brandi Ifgray,Stargazer,Sähkö,Puu 016,"Produced by Jimi Tenor & Brandi Ifgray, on the edge of JT's pop & spaced out jazzy movie score scapes",26116
Golden Retriever,Occupied With The Unspoken,Thrill Jockey,308,"Beautiful, complex, extended Drone pieces",03299
Various Artists,Ancient Lights And The Black Core,Sub Rosa,078,Vinyl issue of classy 1995 blue Ambient / leftfield Electronica compilation,27370
Hum,The Spectral Ship,Substantia Innominata,008,Excellent extended Drone scapes,20006
Various Artists,The Electric Family - Mariopaint,Irdial,55 com 3,Electronic music made based on the musical options of Nintendo Super Famicom (original sealed copies - warehouse find!),09878
Big City Orkestre,Drone Gnomes,Substantia Innominata,005,"Beautiful, playful, extended Drone works",20003
Pretty Sneaky,1,Pretty Sneaky,01,"Ace, subtly dubbed out, pure rhythm & groove textures - Highly Recommended!",77817
Simon Fisher Turner,Giraffe,Mego,Editions 231,"‘blur[ring] the lines between sound design and song, machine severity and narrative sentimentality’ (w/ download card)",40486
Book Of Air,Vvolk,Sub Rosa,413,Warm Ambient / Drone beauty ‘Inspired by the slow tempo and invisible motion of nature’,41340
Various Artists,Metaphors - Selected Soundworks From The Cinema Of Apichatpong Weerasethakul,Sub Rosa,448,Collection of cinematic field recordings through a sound designer lens,24125
Exploring Jezebel,On A Business Trip To London,Blackest Ever Black,LP 008,"Collection of Noise, Ambient & Radio play pieces (comes w/ download)",45211
Pauline Oliveros & Ione,Water Above Sky Below Now,Morphine,Doser 027,Progressive live electronic/spoken word performance recording,74032
Voronoi,Vis-Viva,OOH-sounds,009,"Crisp, puristic CAD-IDM EP (w/ dowload code)",19835
Jan Jelinek & Computer Soup,"Improvisations And Edits, Tokyo 26.09.2001",Faitiche,Back 10,Clicks’n’cuts’ golden era Lounge Ambient / Electronic Jazz hybrid gem reissued on vinyl (w/ download code),20095
Human Rays,A Tension,Further Records,105,Subtly pulsating & percussive Ambient Electronica mini album (w/ download code),74350
"Oren Ambarchi, Jim O'Rourke & U-zhaan",Hence,Mego,Editions 249,"‘Combining influences from post-minimalism, the pioneers of live electronics, and eastern music into a unique sound world’",17788
Javiera González,Meet Me Twice,Non Standard Productions,012,A beautiful non-standard: haunting vocals paired with analog electronics,73503
David Toop,Life On The Inside,Sub Rosa,414,’the audio companion to  Pierre Besson's exhbition D'objets noires et de Choses carrées - Black Objects and Square Things’,41551
Linekraft,Engineering Analysis of Inner Death,Hospital Productions,602,Classic Industrial / Noise sound scapes,39732
O$VMV$M,O$VMV$M,Idle Hands,053,"Pure drifting to downtempo pulses driven, slightly noisy Ambient Electronica",19755
Oval,O,Thrill Jockey,244 LP,Idiosyncratically processed & treated guitar recordings (comes w/ download code),61980
Unknot,Modem,Unknot,001,Emanuele Porcinai & Sciahri prod. sub-heavy Techno scapes,30246
∑,∑=5,∑,5,"Explorative, sparse, pure Electronic sound scapes (repress w/o cover)",74366
∑,Historical Amnesia,∑,6,"Puristic, dynamic Soundscapes & Drones",76594
MM Studio,Good Star Dubs,Albumlabel,008,Tadd Mullinix aka Dabrye and Daniel Meteo prod. Digi Dub album,75295
Roberto Musci,Tower Of Silence,Music From Memory,014,"Early 1980s New Age indebted, Outernational musics inspired Lounge / Ambient album",26805
Drøne,A Perfect Blind,Pomperipossa,LP 003,"Blinding, pure Ambient /  Electronic Drone excursion by Mark van Hoen & Mike Harding",78086
Blue Chemise,Daughters Of Time,Students Of Decay,120,Collection of beautiful Ambient miniatures (w/ download card),19027
Yannick Dauby & Hitoshi Kojo,La Vie Dans Les Airs & Dans Les Eaux,Substantia Innominata,024,"Side long, contemplative, sparse Electro-Accoustical / Drone pieces",77842
Geir Jensen,Stromboli,Touch,Tone 048,Classy field recordings edited & processed,68489
ASC,Return Of The Emissary EP,Auxiliary,015,"Crafty, subtly pulsating Ambient Techno EP",58788
ASC & Sam KDC,Decayed Society,Auxiliary,CD 001,Fine Electronic Drone & Ambient trips,65361
Kiyoko,Sea Of Trees,Auxiliary,LP 001,Mellow Ambient/Indietronica album,73302
Jim Haynes,The Wires Cracked,Mego,Editions 171,"Side long laid out, noisy, Drone excursions",67871
Edvard Graham Lewis,All Under,Mego,Editions 194,"Impressive set of scores for films, installtions & stories by a long time musical pioneer",71187
Chra,Empty Airport,Mego,Editions 208,"Christina Nemec prod. sparse, droning, puristic soundscapes",73245
Keith Fullerton Whitman,Occlusions,Mego,Editions D 026,Fantastic recordings of freely improvised piece of Live Electronic Music,65945
Solid Blake,Warp Room,Seilscheibenpfeiler,005,"Tough, raw, direct Electro / Techno EP",16604
Asolaar,Obliterate,Metaphysik,101,Crafty Electronic album from the noisier end of things in fantastic packaging,69713
Sturqen,Zebu EP,Metaphysik,102,"Industrial leaning, puristic Electronics in fantastic artwork again",70794
Ben Vida,Splitaggregatepulseripper (Damaged iiii),Amish,033,"2011 release, extended, studio & live recordings",66207
Shao,Doppler Shift,Tresor,306,Subtly pulsating Ambient / Ambient Techno textures,18508
Ambarchi / Fennesz / Pimmon / Rehberg / Rowe,Afternoon Tea,Weird Forrest,055,"Purist, sparse, droning, abstract Electronic pieces",61979
Emmplekz,Your Crate Has Changed,Mordant Music,067,Electronic 70s Punk rooted Electronics,69696
I-LP-ON,Äänet,Mego,Editions 254,As precise as beautifully sparse classic Sähkö-esque Electronic Dub excursion - TIP! (w/ download code),17785
Nova Scotian Arms / Motion Sickness Of Time Travel,Crystal Anniversary,Aguirre,015,Immersive & beautiful Ambient / Drone excursions,40078
Komodo Haunts,Suijin,Aguirre,036,Cinematic & esoteric Drone works,40080
Ian William Craig,Meaning Turns To Whispers,Aguirre,043,Stunningly balanced ‘combination of piano improvisations and FM feedback loops’,79368
Grischa Lichtenberger,Spielraum | Allgegenwart | Strahlung,Raster-Noton,168 | 172 | 173,Diverse set of precise Designer Electronics in silk-screened box w/ poster insert,76868
Bosaina,New York April - July 2013 / Two Names Upon The Shore,Discrepant,045,‘fragmented and wistful soundscapes that combine her affection for the piano with ambient textures from seashore to life underground’,19666
Grey Branches,Neuroclaps LP,Inner Surface Music,LP 01,"Yves De Mey prod. Industrial & IDM aware, Techno aiming, crisp CAD sound scapes",78304
Endgame,Flesh EP,Hyperdub,HDB 101,Fresh Hyperdub mixture of out-there Electronics & Dance Pop related Grime,58431
Voices From The Lake,Live at MAXXI,Mego,Editions 209,"Exceptional Ambient album by Donato Scaramuzzi, Giuseppe Tillieci & Paolo Conte",74174
General Magic & Pita,Fridge Trax Plus,Mego,Editions 001,"20th anniversary, expanded re-issue - the labels legendary initiating release",73246
Nick Edwards,Plekzationz,Mego,Editions 145 V,"Raw, side-long, tough Electronic excursisions by the legend that is Ekoplekz - Highly Recommended!",66458
Robin Fox,A Small Prometheus,Mego,Editions 206,Advanced Computer Music,33454
Coti,La Gru Gialla,Vibrant Music,004,Fine 2001 IDM/Ambient excursions,35402
Qebo,Flopper,Vibrant Music,VMD 5 LP,"Well executed, noisy 2002 IDM album",39358
Forma,Semblance,Kranky,218,"Vintage 1970s, ‘Kosmische Musik’ & Krautrock schooled Electronica album",18698
Flanger,Lollopy Dripper,Nonplace,041,"Outernational percussions & IDM leaning Electronica in chilled, subtly jazzy mode (CD version thrown in)",74246
Lori Scacco,Interpretations Vol 3 - Desire Loop,Mysteries Of The Deep,EP 003,Pure Ambient bliss & explorative Drone Electronics centred remix set,18691
Loscil,Plume,Kranky,096,"Blue, subs driven, minimalist Ambient Electronica",42835
Inland & Julian Charrière,An Invitation To Disappear,Ostgut Ton,A-Ton LP 005,"IDM / Techno hybrids & droning Ambient soundscapes (w/ download card, gatefold sleeve & booklet)",18536
Noise-Maker's Fifes,Zona Incerta,Substantia Innominata,003,"Breathtaking & dynamic, side long Drone works",20000
Olhon,Lucifugus,Substantia Innominata,011,"Immersive, dynamic, extended Drone / Ambient cinema",20009
Thomas Dimuzio,Amid Zero Echo,Substantia Innominata,020,"Epic, cinematic, extended Drone works",20019
Marcel Dettmann,Presents Rauch,Ostgut Ton,A-Ton LP 004,"A pure Ambient excursion w/ Felix K, Sa Pa & Simon Hoffmann (w/ download code; continuous play - partitions made for pre-listening)",23458
Stine Janvin,Fake Synthetic Music,PAN,84,"Minimalist, Electro-Accoustic designer works related, purist Avantgarde-Electronics",18545
Lunatik Sound System,Music For Closed Eyes,Something,DGT Series 51,"Processed field recordings integrating, cosmic Drone tinged Designer Ambient",18336
Russell Haswell,Factual,Mego,Editions 157,Crafty Noise excursions,66907
Ital Tek,Bodied,Planet Mu,397,"Melodic, pure Ambient drifters & pulsating, classic IDM w/ ‘weightless’ Grime affinities",18994
Kaori Suzuki,Conduit,Second Editions,004,Radically hallucinogenic CAD-Electronic,32587
Ipek Gorgun,Ecce Homo,Touch,106,Collection of Drone Ambient centered Electronics,19456
